"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"35301","3.35231759","1.5289E-4","0.29830109","0.02205882","17","7","false","O60749","53.58823529","17","0","0","0.76476824","false","0","O60749","409680","0.06356052"
"35305","3.63408393","1.176E-5","0.27517251","0.06666667","6","7","false","Q96RU3","96.5","6","0","0","0.73659161","false","0","Q96RU3","43556","0.17487835"
"35311","3.60447434","1.479E-5","0.27743296","0.0","4","7","false","O75323","158.25","4","0","0","0.73955257","false","0","O75323","72780","0.25821018"
"35316","3.68723498","1.255E-5","0.27120593","0.0","2","7","false","Q9P246","240.5","2","0","0","0.7312765","false","0","Q9P246","32356","0.50104603"
"35319","3.48939903","1.1973E-4","0.2865823","0.0","10","7","false","Q15904","148.5","10","0","0","0.7510601","false","0","Q15904","650220","0.1661036"
"35323","3.58605059","6.538E-5","0.27885831","0.2","5","7","false","O75581","153.6","5","0","0","0.74139494","false","0","O75581","200640","0.20702703"
"35326","3.6215821","1.462E-5","0.27612242","0.0","4","7","false","Q8NDI1","161.0","4","0","0","0.73784179","false","0","Q8NDI1","71430","0.25437202"
"35328","3.31393479","1.8406E-4","0.30175609","0.22794118","17","6","false","Q96A65","134.94117647","17","0","0","0.76860652","false","0","Q96A65","851878","0.0957816"
"35333","3.56316713","3.896E-5","0.2806492","0.0","3","7","false","O75781","246.66666667","3","0","0","0.74368329","false","0","O75781","172352","0.33838384"
"35336","3.6715163","1.837E-5","0.27236703","0.0","5","7","false","P61221","165.8","5","0","0","0.73284837","false","0","P61221","119878","0.26840391"
"35338","3.79982454","6.42E-6","0.26317005","0.0","2","7","false","Q9UHW9","221.0","2","0","0","0.72001755","false","0","Q9UHW9","16542","0.50113895"
"35340","3.6512648","3.703E-5","0.2738777","0.04761905","7","7","false","Q14254","68.14285714","7","0","0","0.73487352","false","0","Q14254","92956","0.14438666"
"35343","3.72488668","1.876E-5","0.26846454","0.0","4","7","false","O75976","175.5","4","0","0","0.72751133","false","0","O75976","56334","0.33949416"
"35346","3.59825998","4.469E-5","0.2779121","0.0","6","7","false","Q9Y6M7","138.83333333","6","0","0","0.740174","false","0","Q9Y6M7","170282","0.21774618"
"35349","3.52142126","4.638E-5","0.28397625","0.04761905","7","7","false","Q9H2E6","138.71428571","7","0","0","0.74785787","false","0","Q9H2E6","217612","0.1852349"
"35352","3.63430326","4.621E-5","0.2751559","0.04761905","7","7","false","Q9H7B2","117.57142857","7","0","0","0.73656967","false","0","Q9H7B2","179306","0.16813977"
"35356","3.86123702","0.0","0.25898436","0.0","1","7","false","O95185","401.0","1","0","0","0.7138763","false","0","O95185","0","0.0"
"35358","3.74981722","3.4E-7","0.26667966","0.66666667","3","7","false","O95249","225.66666667","3","0","0","0.72501828","false","0","O95249","17746","0.46243169"
"35360","3.42484281","8.393E-5","0.2919842","0.04761905","7","7","false","P05023","158.14285714","7","0","0","0.75751572","false","0","P05023","423362","0.16015114"
"35364","3.59847931","1.531E-5","0.27789516","0.0","4","7","false","Q6P3W7","182.0","4","0","0","0.74015207","false","0","Q6P3W7","100390","0.26934524"
"35366","3.64629332","1.816E-5","0.27425111","0.0","5","7","false","O95478","138.0","5","0","0","0.73537067","false","0","O95478","102760","0.21955128"
"35368","3.3588975","6.466E-5","0.29771674","0.16666667","9","7","false","O95487","185.11111111","9","0","0","0.76411025","false","0","O95487","508516","0.16298911"
"35370","3.69045182","2.814E-5","0.27096953","0.0","4","7","false","O95490","209.75","4","0","0","0.73095482","false","0","O95490","115836","0.32164869"
"35372","3.70565872","2.022E-5","0.26985755","0.0","6","7","false","O95573","208.66666667","6","0","0","0.72943413","false","0","O95573","294922","0.29540066"
"35374","3.77876883","1.0295E-4","0.26463646","0.0","5","7","false","Q8IZJ1","134.0","5","0","0","0.72212312","false","0","Q8IZJ1","491534","0.27536232"
"35378","3.7163328","1.014E-5","0.26908247","0.0","4","7","false","Q96J84","126.75","4","0","0","0.72836672","false","0","Q96J84","30842","0.25874486"
"35381","3.51491446","5.295E-5","0.28450194","0.0","6","7","false","Q8TCT9","200.33333333","6","0","0","0.74850855","false","0","Q8TCT9","439798","0.22346786"
"35384","3.36284545","1.1065E-4","0.29736722","0.02777778","9","7","false","Q9UID3","126.66666667","9","0","0","0.76371546","false","0","Q9UID3","428618","0.12046784"
"35386","3.59709022","2.432E-5","0.27800248","0.0","4","7","false","Q8WUM9","153.75","4","0","0","0.74029098","false","0","Q8WUM9","90330","0.25373754"
"35388","3.35750841","1.8656E-4","0.29783991","0.0","10","6","false","O96013","130.1","10","0","0","0.76424916","false","0","O96013","679414","0.11800731"
"35390","3.39640298","1.9508E-4","0.29442914","0.02564103","13","7","false","Q07960","106.53846154","13","0","0","0.7603597","false","0","Q07960","744366","0.10472201"
"35393","3.53509285","3.289E-5","0.282878","0.16666667","4","7","false","P50851","253.5","4","0","0","0.74649072","false","0","P50851","209820","0.35633803"
"35396","3.49744115","4.105E-5","0.28592332","0.1","5","7","false","Q8NFP9","172.0","5","0","0","0.75025589","false","0","Q8NFP9","150134","0.2351166"
"35399","3.35144027","2.4066E-4","0.29837918","0.06410256","13","7","false","Q03135","104.15384615","13","0","0","0.76485597","false","0","Q03135","864322","0.10178329"
"35401","3.57128235","5.346E-5","0.28001146","0.0","6","7","false","P98172","134.16666667","6","0","0","0.74287176","false","0","P98172","146192","0.21723763"
"35403","3.69673929","3.22E-5","0.27050866","0.0","3","7","false","Q01973","184.0","3","0","0","0.73032607","false","0","Q01973","104354","0.33516484"
"35406","3.53926013","3.123E-5","0.28254493","0.1","5","7","false","P54760","133.8","5","0","0","0.74607399","false","0","P54760","108186","0.20335878"
"35408","3.71209241","1.007E-5","0.26938985","0.0","2","7","false","P23634","239.0","2","0","0","0.72879076","false","0","P23634","26334","0.5021097"
"35410","3.53238778","4.028E-5","0.28309463","0.0","8","6","false","Q8WVM8","114.25","8","0","0","0.74676122","false","0","Q8WVM8","161906","0.17343032"
"35412","3.36920602","3.2401E-4","0.29680583","0.0","14","7","false","Q8IV08","110.92857143","14","0","0","0.7630794","false","0","Q8IV08","1098126","0.10244974"
